Gender,FSIQ,VIQ,PIQ,Weight,Height,BrainSize
0,133,132,124,118,64.5,816932
1,139,123,150,143,73.3,1038437
1,133,129,128,172,68.8,965353
0,137,132,134,147,65.0,951545
0,99,90,110,146,69.0,928799
0,138,136,131,138,64.5,991305
0,92,90,98,175,66.0,854258
1,89,93,84,134,66.3,904858
1,133,114,147,172,68.8,955466
0,132,129,124,118,64.5,833868
1,141,150,128,151,70.0,1079549
1,135,129,124,155,69.0,924059
0,140,120,147,155,70.5,856472
0,96,100,90,146,66.0,878897
0,83,71,96,135,68.0,865363
0,132,132,120,127,68.5,852244
1,100,96,102,178,73.5,945088
0,101,112,84,136,66.3,808020
1,80,77,86,180,70.0,889083
1,97,107,84,186,76.5,905940
0,135,129,134,122,62.0,790619
1,139,145,128,132,68.0,955003
0,91,86,102,114,63.0,831772
1,141,145,131,171,72.0,935494
0,85,90,84,140,68.0,798612
1,103,96,110,187,77.0,1062462
0,77,83,72,106,63.0,793549
0,130,126,124,159,66.5,866662
0,133,126,132,127,62.5,857782
1,144,145,137,191,67.0,949589
1,103,96,110,192,75.5,997925
1,90,96,86,181,69.0,879987
0,83,90,81,143,66.5,834344
0,133,129,128,153,66.5,948066
1,140,150,124,144,70.5,949395
0,88,86,94,139,64.5,893983
1,81,90,74,148,74.0,930016
