year,month,type,law,vehicle_type,method,count
104,1,闖越平交道或在平交道違規,54條,汽車,逕舉,0
104,1,闖越平交道或在平交道違規,54條,汽車,攔停,0
104,1,闖越平交道或在平交道違規,54條,重型機車(250CC以上),逕舉,0
104,1,闖越平交道或在平交道違規,54條,重型機車(250CC以上),攔停,0
104,1,闖越平交道或在平交道違規,54條,機車,逕舉,0
104,1,闖越平交道或在平交道違規,54條,機車,攔停,0
104,1,闖紅燈直行左轉,53條第1項,汽車,逕舉,1314
104,1,闖紅燈直行左轉,53條第1項,汽車,攔停,569
104,1,闖紅燈直行左轉,53條第1項,重型機車(250CC以上),逕舉,4
104,1,闖紅燈直行左轉,53條第1項,重型機車(250CC以上),攔停,3
104,1,闖紅燈直行左轉,53條第1項,機車,逕舉,922
104,1,闖紅燈直行左轉,53條第1項,機車,攔停,2284
104,1,闖紅燈右轉,53條第2項,汽車,逕舉,145
104,1,闖紅燈右轉,53條第2項,汽車,攔停,4
104,1,闖紅燈右轉,53條第2項,重型機車(250CC以上),逕舉,0
104,1,闖紅燈右轉,53條第2項,重型機車(250CC以上),攔停,0
104,1,闖紅燈右轉,53條第2項,機車,逕舉,32
104,1,闖紅燈右轉,53條第2項,機車,攔停,15
104,1,轉彎不暫停讓行人優先通行,48條第2項,汽車,逕舉,0
104,1,轉彎不暫停讓行人優先通行,48條第2項,汽車,攔停,0
104,1,轉彎不暫停讓行人優先通行,48條第2項,重型機車(250CC以上),逕舉,0
104,1,轉彎不暫停讓行人優先通行,48條第2項,重型機車(250CC以上),攔停,0
104,1,轉彎不暫停讓行人優先通行,48條第2項,機車,逕舉,0
104,1,轉彎不暫停讓行人優先通行,48條第2項,機車,攔停,1
104,1,營業大客車酒後或吸食管制藥品後駕車,35條第2項,汽車,逕舉,0
104,1,營業大客車酒後或吸食管制藥品後駕車,35條第2項,汽車,攔停,0
104,1,營業大客車酒後或吸食管制藥品後駕車,35條第2項,重型機車(250CC以上),逕舉,0
104,1,營業大客車酒後或吸食管制藥品後駕車,35條第2項,重型機車(250CC以上),攔停,0
104,1,營業大客車酒後或吸食管制藥品後駕車,35條第2項,機車,逕舉,0
104,1,營業大客車酒後或吸食管制藥品後駕車,35條第2項,機車,攔停,0
104,1,機踏車附載人員或物品未依規定,31條第5項,汽車,逕舉,0
104,1,機踏車附載人員或物品未依規定,31條第5項,汽車,攔停,0
104,1,機踏車附載人員或物品未依規定,31條第5項,重型機車(250CC以上),逕舉,0
104,1,機踏車附載人員或物品未依規定,31條第5項,重型機車(250CC以上),攔停,0
104,1,機踏車附載人員或物品未依規定,31條第5項,機車,逕舉,2
104,1,機踏車附載人員或物品未依規定,31條第5項,機車,攔停,1
104,1,駕駛人違規攬客,38條第1項,汽車,逕舉,0
104,1,駕駛人違規攬客,38條第1項,汽車,攔停,0
104,1,駕駛人違規攬客,38條第1項,重型機車(250CC以上),逕舉,0
104,1,駕駛人違規攬客,38條第1項,重型機車(250CC以上),攔停,0
104,1,駕駛人違規攬客,38條第1項,機車,逕舉,0
104,1,駕駛人違規攬客,38條第1項,機車,攔停,0
104,1,駕照吊扣期間駕車,21條第1項第5款,汽車,逕舉,0
104,1,駕照吊扣期間駕車,21條第1項第5款,汽車,攔停,9
104,1,駕照吊扣期間駕車,21條第1項第5款,重型機車(250CC以上),逕舉,0
104,1,駕照吊扣期間駕車,21條第1項第5款,重型機車(250CC以上),攔停,0
104,1,駕照吊扣期間駕車,21條第1項第5款,機車,逕舉,0
104,1,駕照吊扣期間駕車,21條第1項第5款,機車,攔停,11
104,1,駕照不合規定者,21條第1項第2.3.4.6.7.8.9款,汽車,逕舉,0
104,1,駕照不合規定者,21條第1項第2.3.4.6.7.8.9款,汽車,攔停,58
104,1,駕照不合規定者,21條第1項第2.3.4.6.7.8.9款,重型機車(250CC以上),逕舉,0
104,1,駕照不合規定者,21條第1項第2.3.4.6.7.8.9款,重型機車(250CC以上),攔停,0
104,1,駕照不合規定者,21條第1項第2.3.4.6.7.8.9款,機車,逕舉,0
104,1,駕照不合規定者,21條第1項第2.3.4.6.7.8.9款,機車,攔停,62
