city  captured adoptedR killedR unknownR population graduate farmArea divorced unemployed crimeR oldR computerR
台北縣 152508   10    79    11    3205041   93097   15.46 7.21  4.1 2263.96 8.74  100.21
宜蘭縣  27612   7     62    31    384277    7471    12.70 6.17  4.3 1542.17 13.19 71.43
桃園縣  56889   11    77    12    1572540   41987   30.66 7.20  4.3 1816.70 11.15 103.52
新竹縣  10389   21    69    11    401986    15328   20.46 5.98  4.0 2177.17 11.03 104.05
苗栗縣   9358   12    69    18    464833    8220    18.66 5.68  4.2 1479.97 15.60 72.20
台中縣  46222   7     88    5     1270622   22807   24.10 5.55  4.2 1785.23 13.95 84.63
彰化縣  24824   7     72    21    1083279   19341   59.22 4.31  4.2 1582.24 26.17 69.30
南投縣  37465   6     85    9     444981    7344    16.01 6.11  4.4 1807.65 16.75 69.71
雲林縣  12922   26    74    0     605088    8609    62.60 5.09  4.0 1447.69 25.64 55.08
嘉義縣  13505   10    77    14    464248    5974    39.09 5.46  4.2 1253.37 21.59 48.72
台南縣  89228   6     90    4     937084    17707   45.54 6.06  4.1 1584.20 22.17 70.46
高雄縣  48676   10    82    8     1047887   19445   17.82 6.74  4.2 2315.69 17.52 72.38
屏東縣  31893   6     81    13    742432    11729   26.17 6.80  4.0 1652.73 18.56 60.97
台東縣  25066   3     82    15    193605    2458    13.66 8.54  4.0 824.04  12.01 45.14
花蓮縣  21786   10    66    24    285459    5462    9.85  9.08  4.2 1985.88 10.08 57.25
澎湖縣  12971   24    39    37    79337     1407    44.78 5.83  4.2 905.77  9.54  60.38
基隆市  19141   20    71    9     327686    7269    5.54  8.41  4.3 1623.61 7.88  81.92
新竹市  12932   39    54    7     323938    22097   24.08 6.29  4.1 1973.13 5.83  129.92
台中市  28845   31    56    13    862519    36567   18.28 7.87  4.2 2247.19 5.97  102.47
嘉義市  13954   55    41    3     222249    6925    34.50 6.76  4.1 2317.56 8.57  68.03
台南市  43732   24    68    8     639197    23557   18.15 6.90  4.0 2217.19 8.46  98.07
台北市  98814   35    48    17    2214760   152577  12.18 6.52  4.0 2068.77 3.79  121.21
高雄市  40997   28    64    8     1277807   44670   3.47  7.88  4.3 2378.70 6.00  92.45
