city  captured adopted adopted.rate killed killed.rate unknown unknown.rate
台北市  98814 34451 35  47191 48 17082 17
高雄市  40997 11403 28  26114 64  3480  8
基隆市  19141  3907 20  13560 71  1674  9
新竹市  12932  5027 39   7030 54   875  7
台中市  28845  9006 31  16104 56  3735 13
嘉義市  13954  7713 55   5761 41   480  3
台南市  43732 10524 24  29645 68  3563  8
台北縣 152508 15482 10 120976 79 16050 11
桃園縣  56889  6024 11  43848 77  7017 12
新竹縣  10389  2143 21   7144 69  1102 11
苗栗縣   9358  1167 12   6468 69  1723 18
台中縣  46222  3033  7  40899 88  2290  5
南投縣  37465  2291  6  31824 85  3350  9
彰化縣  24824  1809  7  17896 72  5119 21
雲林縣  12922  3402 26   9506 74    14  0
嘉義縣  13505  1289 10  10356 77  1860 14
台南縣  89228  5706  6  80215 90  3307  4
高雄縣  48676  4844 10  39900 82  3932  8
屏東縣  31893  1883  6  25785 81  4225 13
宜蘭縣  27612  1881  7  17212 62  8519 31
花蓮縣  21786  2127 10  14433 66  5226 24
台東縣  25066   808  3  20536 82  3722 15
澎湖縣  12971  3091 24   5064 39  4816 37
金門縣  14291   708  5  11617 81  1966 14
連江縣   1222    64  5   1011 83   147 12
