CASE	HEDGES	SEX
1	17	F
2	17	F
3	17	F
4	17	F
5	16	F
6	13	F
7	14	F
8	16	F
9	12	F
10	11	F
11	15	F
12	13	F
13	10	F
14	14	F
15	12	F
16	16	F
17	16	F
18	14	F
19	16	F
20	9	F
21	16	F
22	19	F
23	12	F
24	17	F
25	15	F
26	14	F
27	17	F
28	17	F
29	19	F
30	14	F
31	9	M
32	18	M
33	8	M
34	6	M
35	13	M
36	6	M
37	14	M
38	15	M
39	13	M
40	8	M
41	6	M
42	4	M
43	13	M
44	4	M
45	14	M
46	5	M
47	16	M
48	4	M
49	13	M
50	9	M
51	11	M
52	3	M
53	15	M
54	11	M
55	6	M
56	15	M
57	12	M
58	5	M
59	5	M
60	15	M
