radius sample
1.7 g1
2.2 g1
1.9 g1
1.2 g1
0.8 g2
1.5 g2
2.1 g2
0.9 g2
1 g3
1.4 g3
1 g3
1.3 g3
0.4 g4
-0.6 g4
0.7 g4
0.2 g4
1.4 g5
2.3 g5
2.8 g5
2.7 g5
1.8 g6
2 g6
1.1 g6
0.1 g6
1.6 g7
1 g7
1.5 g7
2 g7
2.5 g8
1.6 g8
1.8 g8
1.2 g8
2.9 g9
2 g9
0.5 g9
2.2 g9
1.1 g10
1.1 g10
3.1 g10
1.6 g10
1.7 g11
3.6 g11
2.5 g11
1.8 g11
4.6 g12
2.8 g12
3.5 g12
1.9 g12
2.6 g13
2.8 g13
3.2 g13
1.5 g13
2.3 g14
2.1 g14
2.1 g14
1.7 g14
1.9 g15
1.6 g15
1.8 g15
1.4 g15
1.3 g16
2 g16
3.9 g16
0.8 g16
2.8 g17
1.5 g17
0.6 g17
0.2 g17
1.7 g18
3.6 g18
0.9 g18
1.5 g18
1.6 g19
0.6 g19
1 g19
0.8 g19
1.7 g20
1 g20
0.5 g20
2.2 g20
