# 32 國
# 
# 資料來源：WHO網站                        
# 期間：2002/11/1~2003/06/06 16:00（格林威治時間） 
#
# 國  家  總病例數       死亡數        痊癒數
#        本日 前一日   本日 前一日 
#
country patient_today patient_yesterday death_today death_yes cured 
澳洲  5  5  0  0  5 
巴西  2  2  0  0  2 
加拿大  219  218  31  31  120 
中國  5329  5329  338  336  3869 
香港 1750  1748  286  284  1350 
澳門  1  1  0  0  0 
哥倫比亞  1  1  0  0  1  
芬蘭  1  1  0  0  1 
法國  7  7  0  0  6 
德國  10  10  0  0  9 
印度  3  3  0  0  3 
印尼  2  2  0  0  2 
義大利  9  9  0  0  9 
科威特  1  1  0  0  1 
馬來西亞  5  5  2  2  3 
蒙古  9  9  0  0  9 
紐西蘭  1  1  0  0  1 
菲律賓  12  12  2  2  10 
愛爾蘭  1  1  0  0  1 
南韓  3  3  0  0  3 
羅馬尼亞  1  1  0  0  1 
俄羅斯  1  1  0  0  0 
新加坡  206  206  31  31  165 
南非  1  1  1  1  0 
西班牙  1  1  0  0  1 
瑞典  3  3  0  0  3 
瑞士  1  1  0  0  1 
台灣  676  677  81  81  257 
泰國  8  8  2  2  6 
英國  4  4  0  0  4 
美國  68  69  0  0  35 
越南  63  63  5  5  58 
