# 2008 台灣 15 歲以上人口婚姻狀態 (含男、女）
city           unmarried married  divorced widowed
臺北縣        1180542 1646266 231046   147187
宜蘭縣        127039   205854   23706    27678
桃園縣        533794   849854   113268   75624
新竹縣        122722   231264   24031    23969
苗栗縣        150662   254502   26395    33274
臺中縣        447397   682053   70560    70612
彰化縣        363694   599710   46636    73239
南投縣        143944   239264   27179    34594
雲林縣        182229   340349   30783    51727
嘉義縣        140007   259865   25357    39019
臺南縣        306731   505740   56833    67780
高雄縣        360500   551238   70671    65478
屏東縣        245795   390283   50495    55859
臺東縣        67041    93279    16542    16743
花蓮縣        100283   137437   25916    21823
澎湖縣        25532    42723    4625     6457
基隆市        115749   163426   27545    20966
新竹市        107192   179008   20378    17360
臺中市        305149   449936   67913    39521
嘉義市        77412    115989   15014    13834
臺南市        233907   326046   44125    35119
臺北市        780212   1170577 144323   119648
高雄市        459139   647082   100662   70924
金門縣        22008    42263    3784     4605
連江縣        2548     4741     529       495
