# 臺灣地區九十年度土地面積與人口數暨密度按地區別分 
#
#        土地面積   年底人口數 人口密度   年中人口數 
#        (平方公里)   　      (每平方公    男   女   
# 地區別  　                  里人口數)   
city   area   end_popu  density  mid_man mid_women
臺北市 271.7997 2633802 9690 1304744 1335394 
高雄市 153.6029 1494457 9729 753403 739106 
臺北縣 2052.5667 3610252 1759 1811310 1777764 
宜蘭縣 2143.6251 465799 217 240610 224882 
桃園縣 1220.9540 1762963  1444  897 836  849954 
新竹縣 1427.5931  446300  313 231 702  211304 
苗栗縣 1820.3149  560640  308 294016  266156 
臺中縣 2051.4712  1502274  732 768630  729660 
彰化縣 1074.3960  1313994  1223  679976  632286 
南投縣 4106.4360  541818  132 282771  258906 
雲林縣 1290.8351  743562  576 392746  350719 
嘉義縣 1901.6725  563365  296 297002  265832 
臺南縣 2016.0075  1107397  549 572152  535390 
高雄縣 2792.6642  1236958  443 641863  593970 
屏東縣 2775.6003  909364  328 473897  434580 
臺東縣 3515.2526  244612  70 131426  113536 
花蓮縣 4628.5714  353139  76 186775  166610 
澎湖縣 126.8641  92268  727 47496  43386 
基隆市 132.7589  390966  2945  199525  190170 
新竹市 104.0964  373296  3586  189044  181824 
臺中市 163.4256  983694  6019  481245  493497 
嘉義市 60.0256  267993  4465  134207  132881 
臺南市 175.6456  740846  4218  371254  366494 
金門縣 153.0560  56958  372 28797  26598 
連江縣 28.8000 8851  307 4423  3369 
